run_id,optimizer,architecture,system_key,paper_name,config_name,electrons,results_subdir
kfac__lapnet__Li2,kfac,lapnet,Li2,Li2,Li2,6,results/kfac__lapnet__Li2
kfac__lapnet__NH3,kfac,lapnet,NH3,NH3,NH3,10,results/kfac__lapnet__NH3
kfac__lapnet__CO,kfac,lapnet,CO,CO,CO,14,results/kfac__lapnet__CO
kfac__lapnet__CH3NH2,kfac,lapnet,CH3NH2,CH3NH2,methylamine,16,results/kfac__lapnet__CH3NH2
kfac__lapnet__C2H6O,kfac,lapnet,C2H6O,C2H6O,ethanol,26,results/kfac__lapnet__C2H6O
kfac__lapnet__C4H6,kfac,lapnet,C4H6,C4H6,bicbut,30,results/kfac__lapnet__C4H6
kfac__psiformer__Li2,kfac,psiformer,Li2,Li2,Li2,6,results/kfac__psiformer__Li2
kfac__psiformer__NH3,kfac,psiformer,NH3,NH3,NH3,10,results/kfac__psiformer__NH3
kfac__psiformer__CO,kfac,psiformer,CO,CO,CO,14,results/kfac__psiformer__CO
kfac__psiformer__CH3NH2,kfac,psiformer,CH3NH2,CH3NH2,methylamine,16,results/kfac__psiformer__CH3NH2
kfac__psiformer__C2H6O,kfac,psiformer,C2H6O,C2H6O,ethanol,26,results/kfac__psiformer__C2H6O
kfac__psiformer__C4H6,kfac,psiformer,C4H6,C4H6,bicbut,30,results/kfac__psiformer__C4H6
grpo__lapnet__Li2,grpo,lapnet,Li2,Li2,Li2,6,results/grpo__lapnet__Li2
grpo__lapnet__NH3,grpo,lapnet,NH3,NH3,NH3,10,results/grpo__lapnet__NH3
grpo__lapnet__CO,grpo,lapnet,CO,CO,CO,14,results/grpo__lapnet__CO
grpo__lapnet__CH3NH2,grpo,lapnet,CH3NH2,CH3NH2,methylamine,16,results/grpo__lapnet__CH3NH2
grpo__lapnet__C2H6O,grpo,lapnet,C2H6O,C2H6O,ethanol,26,results/grpo__lapnet__C2H6O
grpo__lapnet__C4H6,grpo,lapnet,C4H6,C4H6,bicbut,30,results/grpo__lapnet__C4H6
grpo__psiformer__Li2,grpo,psiformer,Li2,Li2,Li2,6,results/grpo__psiformer__Li2
grpo__psiformer__NH3,grpo,psiformer,NH3,NH3,NH3,10,results/grpo__psiformer__NH3
grpo__psiformer__CO,grpo,psiformer,CO,CO,CO,14,results/grpo__psiformer__CO
grpo__psiformer__CH3NH2,grpo,psiformer,CH3NH2,CH3NH2,methylamine,16,results/grpo__psiformer__CH3NH2
grpo__psiformer__C2H6O,grpo,psiformer,C2H6O,C2H6O,ethanol,26,results/grpo__psiformer__C2H6O
grpo__psiformer__C4H6,grpo,psiformer,C4H6,C4H6,bicbut,30,results/grpo__psiformer__C4H6
